Constituency,State,Year,Code,pc_id,Status
KRISHNAGIRI,TAMIL NADU,2019,518,3309,
MADRAS CENTRAL,TAMIL NADU,2004,505,3304,
MADRAS NORTH,TAMIL NADU,2004,506,3302,
MADRAS SOUTH,TAMIL NADU,2004,507,3303,
MADURAI,TAMIL NADU,2019,519,3332,
MAYILADUTHURAI,TAMIL NADU,2019,520,3328,
MAYILADUTURAI,TAMIL NADU,2004,520,3328,
NAGAPATTINAM,TAMIL NADU,2019,521,3329,
NAGERCOIL,TAMIL NADU,2004,516,3339,abolished
NAMAKKAL,TAMIL NADU,2019,522,3316,
NILGIRIS,TAMIL NADU,2019,523,3319,
PALANI,TAMIL NADU,2004,512,3322,abolished
PERAMBALUR,TAMIL NADU,2019,524,3325,
PERIYAKULAM,TAMIL NADU,2004,532,3333,abolished
POLLACHI,TAMIL NADU,2019,525,3321,
PUDUKKOTTAI,TAMIL NADU,2004,531,3330,abolished
RAMANATHAPURAM,TAMIL NADU,2019,526,3335,
RASIPURAM,TAMIL NADU,2004,,,abolished
SALEM,TAMIL NADU,2019,527,3315,
SIVAGANGA,TAMIL NADU,2019,528,3331,
SIVAKASI,TAMIL NADU,2004,541,3334,abolished
SRIPERUMBUDUR,TAMIL NADU,2019,529,3305,
TENKASI,TAMIL NADU,2019,530,3337,
THANJAVUR,TAMIL NADU,2019,531,3330,
THENI,TAMIL NADU,2019,532,3333,
THOOTHUKKUDI,TAMIL NADU,2019,533,3336,
TINDIVANAM,TAMIL NADU,2004,540,3313,abolished
TIRUCHENDUR,TAMIL NADU,2004,,,abolished
TIRUCHENGODE,TAMIL NADU,2004,,,abolished
TIRUCHIRAPPALLI,TAMIL NADU,2019,534,3324,
TIRUNELVELI,TAMIL NADU,2019,535,3338,
TIRUPPATTUR,TAMIL NADU,2004,,,abolished
TIRUPPUR,TAMIL NADU,2019,536,3318,
TIRUVALLUR,TAMIL NADU,2019,537,3301,
TIRUVANNAMALAI,TAMIL NADU,2019,538,3311,
VANDAVASI,TAMIL NADU,2004,504,3312,abolished
VELLORE,TAMIL NADU,2019,539,3308,
VILUPPURAM,TAMIL NADU,2019,540,3313,
VIRUDHUNAGAR,TAMIL NADU,2019,541,3334,
ADILABAD,TELANGANA,2019,410,2801,
BHONGIR,TELANGANA,2019,416,2814,
CHEVELLA,TELANGANA,2019,417,2810,
HYDERABAD,TELANGANA,2019,422,2809,
KARIMNAGAR,TELANGANA,2019,425,2803,
KHAMMAM,TELANGANA,2019,426,2817,
MAHABUBABAD,TELANGANA,2019,429,2816,
MAHBUBNAGAR,TELANGANA,2019,430,2811,
MALKAJGIRI,TELANGANA,2019,431,2807,
MEDAK,TELANGANA,2019,432,2806,
NAGARKURNOOL,TELANGANA,2019,433,2812,
NALGONDA,TELANGANA,2019,434,2813,
NIZAMABAD,TELANGANA,2019,439,2804,
PEDDAPALLE,TELANGANA,2019,441,2802,
SECUNDERABAD,TELANGANA,2019,444,2808,
WARANGAL,TELANGANA,2019,450,2815,
ZAHIRABAD,TELANGANA,2019,451,2805,
TRIPURA EAST,TRIPURA,2019,199,1602,
TRIPURA WEST,TRIPURA,2019,200,1601,
AGRA,UTTAR PRADESH,2019,72,918,
AKBARPUR,UTTAR PRADESH,2019,73,944,
ALIGARH,UTTAR PRADESH,2019,74,915,
ALLAHABAD,UTTAR PRADESH,2019,75,952,
AMBEDKAR NAGAR,UTTAR PRADESH,2019,76,955,
AMETHI,UTTAR PRADESH,2019,77,937,
AMROHA,UTTAR PRADESH,2019,78,909,
AONLA,UTTAR PRADESH,2019,79,924,
AZAMGARH,UTTAR PRADESH,2019,80,969,
BADAUN,UTTAR PRADESH,2019,81,923,
BAGHPAT,UTTAR PRADESH,2019,82,911,
BAHRAICH,UTTAR PRADESH,2019,83,956,
BALLIA,UTTAR PRADESH,2019,84,972,
BALRAMPUR,UTTAR PRADESH,2004,,,abolished
BANDA,UTTAR PRADESH,2019,85,948,
BANSGAON,UTTAR PRADESH,2019,86,967,
BARA BANKI,UTTAR PRADESH,2004,87,953,
BARABANKI,UTTAR PRADESH,2019,87,953,
BAREILLY,UTTAR PRADESH,2019,88,925,
BASTI,UTTAR PRADESH,2019,89,961,
BHADOHI,UTTAR PRADESH,2019,90,978,
BIJNOR,UTTAR PRADESH,2019,91,904,
BILHAUR,UTTAR PRADESH,2004,,,abolished
BUDAUN,UTTAR PRADESH,2004,81,923,
BULANDSHAHR,UTTAR PRADESH,2019,92,914,
CHAIL,UTTAR PRADESH,2004,,,abolished
CHANDAULI,UTTAR PRADESH,2019,93,976,
DEORIA,UTTAR PRADESH,2019,94,966,
DHAURAHRA,UTTAR PRADESH,2019,95,929,
DOMARIAGANJ,UTTAR PRADESH,2004,96,960,
DOMARIYAGANJ,UTTAR PRADESH,2019,96,960,
ETAH,UTTAR PRADESH,2019,97,922,
ETAWAH,UTTAR PRADESH,2019,98,941,
FAIZABAD,UTTAR PRADESH,2019,99,954,
FARRUKHABAD,UTTAR PRADESH,2019,100,940,
FATEHPUR,UTTAR PRADESH,2019,101,949,
FATEHPUR SIKRI,UTTAR PRADESH,2019,102,919,
FIROZABAD,UTTAR PRADESH,2019,103,920,
FIROZABAD (BYE-ELECTION ON 7-11-2009),UTTAR PRADESH,2009,103,920,
GAUTAM BUDDHA NAGAR,UTTAR PRADESH,2019,104,913,
GAUTAM BUDHHA NAGAR,UTTAR PRADESH,2014,104,913,
GHATAMPUR,UTTAR PRADESH,2004,,,abolished
GHAZIABAD,UTTAR PRADESH,2019,105,912,
GHAZIPUR,UTTAR PRADESH,2019,106,975,
GHOSI,UTTAR PRADESH,2019,107,970,
GONDA,UTTAR PRADESH,2019,108,959,
GORAKHPUR,UTTAR PRADESH,2019,109,964,
HAMIRPUR,UTTAR PRADESH,2019,110,947,
HAPUR,UTTAR PRADESH,2004,,,abolished
HARDOI,UTTAR PRADESH,2019,111,931,
HATHRAS,UTTAR PRADESH,2019,112,916,
JALAUN,UTTAR PRADESH,2019,113,945,
JALESAR,UTTAR PRADESH,2004,,,abolished
JAUNPUR,UTTAR PRADESH,2019,114,973,
JHANSI,UTTAR PRADESH,2019,115,946,
KAIRANA,UTTAR PRADESH,2019,116,902,
KAISERGANJ,UTTAR PRADESH,2019,117,957,
KANNAUJ,UTTAR PRADESH,2019,118,942,
KANPUR,UTTAR PRADESH,2019,119,943,
KAUSHAMBI,UTTAR PRADESH,2019,120,950,
KHALILABAD,UTTAR PRADESH,2004,,,abolished
KHERI,UTTAR PRADESH,2019,121,928,
KHURJA,UTTAR PRADESH,2004,,,abolished
KUSHI NAGAR,UTTAR PRADESH,2019,122,965,
LALGANJ,UTTAR PRADESH,2019,123,968,
LUCKNOW,UTTAR PRADESH,2019,124,935,
MACHHLISHAHR,UTTAR PRADESH,2019,125,974,
MAHARAJGANJ,UTTAR PRADESH,2019,126,963,
MAINPURI,UTTAR PRADESH,2019,127,921,
MATHURA,UTTAR PRADESH,2019,128,917,
MEERUT,UTTAR PRADESH,2019,129,910,
MIRZAPUR,UTTAR PRADESH,2019,130,979,
MISRIKH,UTTAR PRADESH,2019,131,932,
MOHANLALGANJ,UTTAR PRADESH,2019,132,934,
MORADABAD,UTTAR PRADESH,2019,133,906,
MUZAFFARNAGAR,UTTAR PRADESH,2019,134,903,
NAGINA,UTTAR PRADESH,2019,135,905,
PADRAUNA,UTTAR PRADESH,2004,,,abolished
PHULPUR,UTTAR PRADESH,2019,136,951,
PILIBHIT,UTTAR PRADESH,2019,137,926,
PRATAPGARH,UTTAR PRADESH,2019,138,939,
RAE BARELI,UTTAR PRADESH,2019,139,936,
RAMPUR,UTTAR PRADESH,2019,140,907,
ROBERTSGANJ,UTTAR PRADESH,2019,141,980,
SAHARANPUR,UTTAR PRADESH,2019,142,901,
SAIDPUR,UTTAR PRADESH,2004,,,abolished
SALEMPUR,UTTAR PRADESH,2019,143,971,
SAMBHAL,UTTAR PRADESH,2019,144,908,
SANT KABIR NAGAR,UTTAR PRADESH,2019,145,962,
SHAHABAD,UTTAR PRADESH,2004,,,abolished
SHAHJAHANPUR,UTTAR PRADESH,2019,146,927,
SHRAWASTI,UTTAR PRADESH,2019,147,958,
SITAPUR,UTTAR PRADESH,2019,148,930,
SULTANPUR,UTTAR PRADESH,2019,149,938,
UNNAO,UTTAR PRADESH,2019,150,933,
VARANASI,UTTAR PRADESH,2019,151,977,
ALMORA,UTTARAKHAND,2019,25,503,
GARHWAL,UTTARAKHAND,2019,26,502,
HARDWAR,UTTARAKHAND,2014,27,505,
HARIDWAR,UTTARAKHAND,2019,27,505,
NAINITAL UDHAMSINGH NAGAR,UTTARAKHAND,2014,28,504,
NAINITAL-UDHAMSINGH NAGAR,UTTARAKHAND,2019,28,504,
TEHRI GARHWAL,UTTARAKHAND,2019,29,501,
ALMORA,UTTARANCHAL,2004,25,503,
GARHWAL,UTTARANCHAL,2004,26,502,
HARDWAR,UTTARANCHAL,2004,27,505,
NAINITAL,UTTARANCHAL,2004,28,504,
TEHRI GARHWAL,UTTARANCHAL,2004,29,501,
ALIPURDUARS,WEST BENGAL,2019,217,1902,
ARAMBAG,WEST BENGAL,2019,218,1929,
ARAMBAGH,WEST BENGAL,2004,218,1929,
ASANSOL,WEST BENGAL,2019,219,1940,
BAHARAMPUR,WEST BENGAL,2019,220,1910,
BALURGHAT,WEST BENGAL,2019,221,1906,
BANGAON,WEST BENGAL,2019,222,1914,
BANKURA,WEST BENGAL,2019,223,1936,
BARASAT,WEST BENGAL,2019,224,1917,
BARDHAMAN DURGAPUR,WEST BENGAL,2019,225,1939,
BARDHAMAN PURBA,WEST BENGAL,2019,226,1938,
BARDHAMAN-DURGAPUR,WEST BENGAL,2009,225,1939,
BARRACKPORE,WEST BENGAL,2004,227,1915,
BARRACKPUR,WEST BENGAL,2019,227,1915,
BASIRHAT,WEST BENGAL,2019,228,1918,
BERHAMPORE,WEST BENGAL,2004,220,1910,
BIRBHUM,WEST BENGAL,2019,229,1942,
BISHNUPUR,WEST BENGAL,2019,230,1937,
BOLPUR,WEST BENGAL,2019,231,1941,
BURDWAN,WEST BENGAL,2004,226,1938,
CALCUTTA NORTH EAST,WEST BENGAL,2004,,,abolished
CALCUTTA NORTH WEST,WEST BENGAL,2004,,,abolished
CALCUTTA SOUTH,WEST BENGAL,2004,245,1923,
CONTAI,WEST BENGAL,2004,244,1931,
COOCH BEHAR,WEST BENGAL,2019,232,1901,
COOCHBEHAR,WEST BENGAL,2014,232,1901,
COOCHBEHAR (SC),WEST BENGAL,2014,232,1901,
DARJEELING,WEST BENGAL,2019,233,1904,
DIAMOND HARBOUR,WEST BENGAL,2019,234,1921,
DUM DUM,WEST BENGAL,2019,235,1916,
DURGAPUR,WEST BENGAL,2004,225,1939,
GHATAL,WEST BENGAL,2019,236,1932,
HOOGHLY,WEST BENGAL,2019,237,1928,
HOWRAH,WEST BENGAL,2019,238,1925,
JADAVPUR,WEST BENGAL,2019,239,1922,
JALPAIGURI,WEST BENGAL,2019,240,1903,
JANGIPUR,WEST BENGAL,2019,241,1909,
JAYNAGAR,WEST BENGAL,2019,242,1919,
JHARGRAM,WEST BENGAL,2019,243,1933,
JOYNAGAR,WEST BENGAL,2004,242,1919,
KANTHI,WEST BENGAL,2019,244,1931,
KATWA,WEST BENGAL,2004,,,abolished
KOLKATA DAKSHIN,WEST BENGAL,2019,245,1923,
KOLKATA UTTAR,WEST BENGAL,2019,246,1924,
KRISHNAGAR,WEST BENGAL,2004,247,1912,
KRISHNANAGAR,WEST BENGAL,2019,247,1912,
MALDA,WEST BENGAL,2004,,,abolished
MALDAHA DAKSHIN,WEST BENGAL,2019,248,1908,
MALDAHA UTTAR,WEST BENGAL,2019,249,1907,
MATHURAPUR,WEST BENGAL,2019,250,1920,
MEDINIPUR,WEST BENGAL,2019,251,1934,
MIDNAPORE,WEST BENGAL,2004,251,1934,
MURSHIDABAD,WEST BENGAL,2019,252,1911,
NABADWIP,WEST BENGAL,2004,,,abolished
PANSKURA,WEST BENGAL,2004,223,1936,
PURULIA,WEST BENGAL,2019,253,1935,
RAIGANJ,WEST BENGAL,2019,254,1905,
RANAGHAT,WEST BENGAL,2019,255,1913,
SERAMPORE,WEST BENGAL,2004,256,1927,
SREERAMPUR,WEST BENGAL,2019,256,1927,
TAMLUK,WEST BENGAL,2019,257,1930,
ULUBERIA,WEST BENGAL,2019,258,1926,
VISHNUPUR,WEST BENGAL,2004,230,1937,
